0.33,0.397,0.3888,0.39627,stat
0.33,0.371,0.3964,0.39221,stat
0.34,0.391,0.3933,0.39525,stat
0.35,0.42,0.3922,0.39446,stat
0.44,0.405,0.3993,0.39409,stat
0.41,0.383,0.4011,0.39448,stat
0.29,0.416,0.3886,0.39304,stat
0.45,0.397,0.3914,0.3927,stat
0.4,0.432,0.3989,0.39738,stat
0.41,0.4,0.4019,0.39408,stat
0.41,0.404,0.3969,0.39355,stat
0.36,0.365,0.4008,0.39674,stat
0.39,0.386,0.3998,0.39661,stat
0.4,0.404,0.3894,0.39247,stat
0.37,0.385,0.3936,0.39202,stat
0.28,0.422,0.3907,0.39302,stat
0.44,0.393,0.3964,0.39615,stat
0.41,0.384,0.394,0.39533,stat
0.39,0.396,0.3954,0.39355,stat
0.34,0.39,0.3878,0.39531,stat
0.36,0.422,0.3937,0.39552,stat
0.39,0.414,0.3981,0.39825,stat
0.34,0.394,0.3867,0.3981,stat
0.48,0.378,0.3946,0.39371,stat
0.39,0.371,0.394,0.39393,stat
0.45,0.381,0.3933,0.39598,stat
0.46,0.384,0.386,0.39454,stat
0.4,0.383,0.3973,0.39369,stat
0.39,0.392,0.3984,0.39515,stat
0.37,0.391,0.3945,0.39781,stat
0.43,0.385,0.3964,0.39421,stat
0.46,0.388,0.3938,0.39366,stat
0.38,0.393,0.3964,0.39703,stat
0.4,0.409,0.3901,0.3944,stat
0.38,0.375,0.3981,0.39542,stat
0.41,0.39,0.3975,0.39455,stat
0.35,0.405,0.3914,0.39353,stat
0.44,0.412,0.3959,0.39454,stat
0.48,0.392,0.3955,0.39409,stat
0.49,0.42,0.3969,0.39368,stat
0.43,0.396,0.385,0.39641,stat
0.41,0.394,0.3854,0.39689,stat
0.48,0.42,0.3957,0.39403,stat
0.44,0.403,0.396,0.39366,stat
0.47,0.389,0.398,0.39323,stat
0.38,0.413,0.3961,0.39155,stat
0.39,0.406,0.3909,0.39668,stat
0.0,0.018,0.0108,0.01085,diff
0.02,0.004,0.0113,0.01107,diff
0.02,0.01,0.0106,0.01093,diff
0.0,0.018,0.0112,0.01115,diff
0.01,0.007,0.0119,0.01074,diff
0.01,0.009,0.0113,0.01085,diff
0.02,0.011,0.0095,0.01077,diff
0.01,0.01,0.0098,0.01107,diff
0.0,0.008,0.0122,0.01147,diff
0.0,0.013,0.0098,0.01137,diff
0.02,0.01,0.0107,0.01123,diff
0.02,0.008,0.0125,0.01113,diff
0.02,0.01,0.0115,0.01039,diff
0.03,0.007,0.0118,0.01154,diff
0.01,0.007,0.0095,0.01062,diff
0.02,0.007,0.0129,0.01099,diff
0.0,0.008,0.0114,0.01047,diff
0.01,0.012,0.0108,0.01081,diff
0.02,0.005,0.0124,0.01029,diff
0.03,0.005,0.0091,0.01128,diff
0.01,0.009,0.0104,0.01073,diff
0.01,0.016,0.0105,0.01085,diff
0.05,0.012,0.011,0.01124,diff
0.02,0.012,0.0102,0.01129,diff
0.01,0.01,0.0134,0.01085,diff
0.01,0.014,0.0124,0.0106,diff
0.01,0.015,0.0103,0.01093,diff
0.0,0.008,0.008,0.01074,diff
0.02,0.015,0.0109,0.0107,diff
0.0,0.011,0.0096,0.01089,diff
0.0,0.002,0.0115,0.01011,diff
0.01,0.012,0.0123,0.01074,diff
0.01,0.013,0.0129,0.01066,diff
0.02,0.009,0.0105,0.01121,diff
0.02,0.014,0.011,0.01087,diff
0.0,0.009,0.0113,0.01058,diff
0.03,0.017,0.0095,0.01097,diff
0.03,0.013,0.0112,0.01064,diff
0.01,0.009,0.009,0.01066,diff
0.01,0.011,0.0107,0.01087,diff
0.0,0.016,0.0102,0.01099,diff
0.01,0.015,0.0117,0.01076,diff
0.0,0.012,0.0117,0.01098,diff
0.03,0.007,0.0099,0.01108,diff
0.0,0.015,0.0094,0.01076,diff
0.0,0.012,0.0114,0.01068,diff
0.0,0.007,0.0114,0.01106,diff
0.01,0.012,0.0106,0.01085,diff
0.01,0.008,0.0098,0.01123,diff
0.0,0.012,0.0095,0.01073,diff
