n,delta,p,corr_p
100,10,0.31,0.31
100,10,0.23,0.23
100,10,0.27,0.27
1000,10,0.295,0.295
1000,10,0.335,0.335
1000,10,0.318,0.318
1000,10,0.286,0.286
1000,10,0.286,0.286
1000,10,0.297,0.297
1000,10,0.316,0.316
1000,10,0.317,0.317
1000,10,0.329,0.329
1000,10,0.317,0.317
10000,10,0.3145,0.3145
10000,10,0.319,0.319
10000,10,0.3147,0.3147
10000,10,0.3169,0.3169
10000,10,0.3207,0.3207
10000,10,0.3228,0.3228
10000,10,0.316,0.316
10000,10,0.3167,0.3167
10000,10,0.3205,0.3205
10000,10,0.3197,0.3197
100000,10,0.31328,0.31328
100000,10,0.31495,0.31495
100000,10,0.31702,0.31702
100000,10,0.31576,0.31576
100000,10,0.31453,0.31453
100000,10,0.31427,0.31427
100000,10,0.31852,0.31852
100000,10,0.31308,0.31308
100000,10,0.31373,0.31373
100000,10,0.31421,0.31421
100,15,0.32,0.32
100,15,0.36,0.36
100,15,0.35,0.35
100,15,0.31,0.31
100,15,0.3,0.3
100,15,0.36,0.36
100,15,0.43,0.43
100,15,0.44,0.44
100,15,0.28,0.28
100,15,0.37,0.37
1000,15,0.368,0.368
1000,15,0.363,0.363
1000,15,0.362,0.362
1000,15,0.391,0.391
1000,15,0.372,0.372
1000,15,0.371,0.371
1000,15,0.353,0.353
1000,15,0.364,0.364
1000,15,0.337,0.337
1000,15,0.359,0.359
10000,15,0.3654,0.3654
10000,15,0.3634,0.3634
10000,15,0.3661,0.3661
10000,15,0.3618,0.3618
10000,15,0.3515,0.3515
10000,15,0.3569,0.3569
10000,15,0.3633,0.3633
10000,15,0.3627,0.3627
10000,15,0.3658,0.3658
10000,15,0.3602,0.3602
100000,15,0.3611,0.3611
100000,15,0.36452,0.36452
100000,15,0.36194,0.36194
100000,15,0.36187,0.36187
100000,15,0.36265,0.36265
100000,15,0.36311,0.36311
100000,15,0.36281,0.36281
100000,15,0.36238,0.36238
100000,15,0.36513,0.36513
100000,15,0.36412,0.36412
100,20,0.22,0.22
100,20,0.17,0.17
100,20,0.18,0.18
100,20,0.17,0.17
100,20,0.22,0.22
100,20,0.14,0.14
100,20,0.22,0.22
100,20,0.2,0.2
100,20,0.23,0.23
100,20,0.27,0.27
1000,20,0.194,0.194
1000,20,0.201,0.201
1000,20,0.181,0.181
1000,20,0.197,0.197
1000,20,0.211,0.211
1000,20,0.191,0.191
1000,20,0.208,0.208
1000,20,0.203,0.203
1000,20,0.194,0.194
1000,20,0.195,0.195
10000,20,0.1996,0.1996
10000,20,0.1941,0.1941
10000,20,0.1939,0.1939
