delta,p,corr_p,t,p_t (two),p_t (one)
-43,0.00077,0.00077,-3.3333492138776064,0.0012857621741237813,0.0006428810870618907
-42,0.07804,0.07804,-1.4120836868802908,0.16272278481843497,0.08136139240921748
-41,0.01183,0.01183,-2.30274831918977,0.023809885869295628,0.011904942934647814
-40,0.00034,0.00034,-3.642625472137482,0.00047555029287532126,0.00023777514643766063
-39,0.00093,0.00093,-3.2363671074719944,0.0017333419850849813,0.0008666709925424906
-38,0.0022,0.0022,-2.912558799877807,0.004548198019920417,0.0022740990099602084
-37,0.00149,0.00149,-3.0907404899747033,0.002784446431814342,0.001392223215907171
-36,0.00343,0.00343,-2.7426322007785386,0.007554240555737548,0.003777120277868774
-35,0.01876,0.01876,-2.1014362067158374,0.03864128732230921,0.019320643661154605
-34,2e-05,2e-05,-4.672586147208352,1.0300744442221182e-05,5.150372221110591e-06
-33,0.03687,0.03687,-1.8050257724431342,0.07466479701813934,0.03733239850906967
-32,0.01157,0.01157,-2.2890545226141503,0.024479713081548976,0.012239856540774488
-31,0.00011,0.00011,-3.8665319296144385,0.0002187888885745237,0.00010939444428726185
-30,0.00205,0.00205,-2.9907329447097735,0.0035756031162786535,0.0017878015581393267
-29,1e-05,1e-05,-4.591247906548677,1.353621247544784e-05,6.76810623772392e-06
-28,0.008,0.008,-2.448279338773613,0.016605763959775602,0.008302881979887801
-27,0.0002,0.0002,-3.706212612470543,0.00040562682152473406,0.00020281341076236703
-26,0.00175,0.00175,-3.0642260388037332,0.0029537117396328558,0.0014768558698164279
-25,1e-05,1e-05,-5.408227794811852,5.659224261972664e-07,2.829612130986332e-07
-24,0.04253,0.04253,-1.7372959372550112,0.0863483612229329,0.04317418061146645
-23,0.00116,0.00116,-3.143115266921744,0.002396459656977819,0.0011982298284889095
-22,0.00045,0.00045,-3.4400243617257633,0.0009610605396528401,0.00048053026982642006
-21,0.00167,0.00167,-3.0173398252889694,0.0034349433504036165,0.0017174716752018082
-20,0.00017,0.00017,-3.8065975644817858,0.0002512511403907887,0.00012562557019539435
-19,1e-05,1e-05,-5.6868350365204625,1.4386032031419333e-07,7.193016015709667e-08
-18,3e-05,3e-05,-4.349076803652118,4.0161646580910575e-05,2.0080823290455287e-05
-17,0.00052,0.00052,-3.408680669114528,0.0010221986066540159,0.0005110993033270079
-16,3e-05,3e-05,-4.463300439067306,2.612565037209878e-05,1.306282518604939e-05
-15,0.00027,0.00027,-3.670376553304047,0.0004124091380911532,0.0002062045690455766
-14,1e-05,1e-05,-5.162169237068473,1.7327156639867552e-06,8.663578319933776e-07
-13,5e-05,5e-05,-4.158164363786462,7.545732196223852e-05,3.772866098111926e-05
-12,1e-05,1e-05,-5.6983813400532695,1.7213438728750995e-07,8.606719364375498e-08
-11,0.0001,0.0001,-4.074102953389721,0.00011323470711096296,5.661735355548148e-05
-10,0.0003,0.0003,-3.5860156494943256,0.0005648178368462354,0.0002824089184231177
-9,0.0038,0.0038,-2.7493855828321876,0.007475851243621925,0.0037379256218109625
-8,0.00011,0.00011,-3.874452539934466,0.00022691731242082877,0.00011345865621041439
-7,2e-05,2e-05,-4.576482874421298,1.6661932362498908e-05,8.330966181249454e-06
-6,1e-05,1e-05,-6.14772906893622,1.7604889488517996e-08,8.802444744258998e-09
-5,2e-05,2e-05,-4.144113075924711,8.984936671723385e-05,4.4924683358616925e-05
-4,1e-05,1e-05,-5.302253513951427,1.141644627803197e-06,5.708223139015985e-07
-3,1e-05,1e-05,-5.063279043039546,2.6301069480249513e-06,1.3150534740124756e-06
-2,3e-05,3e-05,-4.102207237839431,9.749718715629897e-05,4.8748593578149484e-05
-1,0.00063,0.00063,-3.436409308611859,0.0010056328152628754,0.0005028164076314377
0,1e-05,1e-05,-5.901160350256874,6.181874380637282e-08,3.090937190318641e-08
1,1e-05,1e-05,-6.951594204141,4.973500196064944e-10,2.486750098032472e-10
2,2e-05,2e-05,-4.256641191253826,5.802384747433735e-05,2.9011923737168676e-05
3,1e-05,1e-05,-5.160032481669865,1.6140755063391065e-06,8.070377531695532e-07
4,1e-05,1e-05,-5.96659889981599,5.301077463754599e-08,2.6505387318772994e-08
5,0.00027,0.00027,-3.8027388309412866,0.00028341839650926863,0.00014170919825463432
6,1e-05,1e-05,-5.425865298230922,5.900964554579822e-07,2.950482277289911e-07
7,0.00029,0.00029,-3.5915435968678393,0.0005459486497842318,0.0002729743248921159
8,1e-05,1e-05,-6.073416234052427,3.283165157566499e-08,1.6415825787832494e-08
9,1e-05,1e-05,-5.852913546866164,8.753856967140997e-08,4.3769284835704984e-08
10,1e-05,1e-05,-4.664939804710954,1.3159552181342484e-05,6.579776090671242e-06
11,1e-05,1e-05,-5.715242120910035,2.105300688814925e-07,1.0526503444074625e-07
12,1e-05,1e-05,-5.989906142004235,5.929670590341563e-08,2.9648352951707815e-08
13,1e-05,1e-05,-4.979003530280866,3.1190698563369707e-06,1.5595349281684854e-06
14,7e-05,7e-05,-4.087140306990193,0.00010866558875818898,5.433279437909449e-05
15,1e-05,1e-05,-4.94408752364892,4.276786590588018e-06,2.138393295294009e-06
16,1e-05,1e-05,-4.685895871592855,1.1550528810112686e-05,5.775264405056343e-06
17,1e-05,1e-05,-5.524619797793039,4.143046424309927e-07,2.0715232121549635e-07
18,1e-05,1e-05,-5.64488259793445,2.3819234038341286e-07,1.1909617019170643e-07
19,1e-05,1e-05,-7.143020552578493,5.119950861100072e-10,2.559975430550036e-10
20,1e-05,1e-05,-7.8836120976515875,2.2815766463338348e-11,1.1407883231669174e-11
21,1e-05,1e-05,-7.375712077318826,8.714613135246614e-11,4.357306567623307e-11
22,5e-05,5e-05,-4.25159148700211,6.736231142273849e-05,3.3681155711369246e-05
23,1e-05,1e-05,-6.319755169188601,1.814096002515872e-08,9.07048001257936e-09
24,1e-05,1e-05,-5.532661213495096,5.029588251082213e-07,2.5147941255411065e-07
25,1e-05,1e-05,-7.017440762027863,6.582489525248601e-10,3.2912447626243005e-10
26,1e-05,1e-05,-6.980553082688235,6.577543476469828e-10,3.288771738234914e-10
27,1e-05,1e-05,-6.9086614796132855,6.890820983995401e-10,3.445410491997701e-10
28,1e-05,1e-05,-7.069561895897374,3.42667656810085e-10,1.713338284050425e-10
29,1e-05,1e-05,-6.731922707811889,2.3009909382113034e-09,1.1504954691056517e-09
30,1e-05,1e-05,-7.679062196967342,2.8187950047520987e-11,1.4093975023760494e-11
31,1e-05,1e-05,-6.622986221116373,3.2393136647478585e-09,1.6196568323739293e-09
32,1e-05,1e-05,-7.386358154702436,8.043847257774499e-11,4.0219236288872495e-11
33,1e-05,1e-05,-6.448741154390343,1.1029750141084149e-08,5.514875070542074e-09
34,1e-05,1e-05,-6.4282640636278,8.63614729973104e-09,4.31807364986552e-09
35,1e-05,1e-05,-8.10178514258899,4.912840547839986e-12,2.456420273919993e-12
36,1e-05,1e-05,-7.005480038675927,1.1163086291296033e-09,5.581543145648016e-10
37,1e-05,1e-05,-9.00232884995464,1.1984239645783906e-13,5.992119822891953e-14
38,1e-05,1e-05,-6.0356883733763835,7.385722115032863e-08,3.6928610575164317e-08
39,1e-05,1e-05,-8.055279497283545,4.957192945558544e-12,2.478596472779272e-12
40,1e-05,1e-05,-6.9613940731005925,7.264998167043948e-10,3.632499083521974e-10
41,1e-05,1e-05,-6.21913505842064,2.5557731541684382e-08,1.2778865770842191e-08
42,1e-05,1e-05,-7.97875091151262,1.2514903161669973e-11,6.2574515808349864e-12
43,1e-05,1e-05,-8.373272946351385,9.454813302264525e-13,4.727406651132263e-13
44,1e-05,1e-05,-8.510777050215898,2.538812763112488e-13,1.269406381556244e-13
45,1e-05,1e-05,-6.650679998036203,3.0102449276633215e-09,1.5051224638316607e-09
46,1e-05,1e-05,-7.8698899871043295,1.7882978424829488e-11,8.941489212414744e-12
47,1e-05,1e-05,-8.224095306022713,2.2149484140892255e-12,1.1074742070446127e-12
48,1e-05,1e-05,-8.355710570456905,7.013363738705452e-13,3.506681869352726e-13
49,1e-05,1e-05,-8.140620183593303,4.880220693661592e-12,2.440110346830796e-12
