type,n,p,corr_p
stat,10000,0.3937,0.3937
stat,10000,0.3981,0.3981
stat,10000,0.3867,0.3867
stat,10000,0.3946,0.3946
stat,10000,0.394,0.394
stat,10000,0.3933,0.3933
stat,10000,0.386,0.386
stat,10000,0.3973,0.3973
stat,10000,0.3984,0.3984
stat,10000,0.3945,0.3945
stat,10000,0.3964,0.3964
stat,10000,0.3938,0.3938
stat,10000,0.3964,0.3964
stat,10000,0.3901,0.3901
stat,10000,0.3981,0.3981
stat,10000,0.3975,0.3975
stat,10000,0.3914,0.3914
stat,10000,0.3959,0.3959
stat,10000,0.3955,0.3955
stat,10000,0.3969,0.3969
stat,10000,0.385,0.385
stat,10000,0.3854,0.3854
stat,10000,0.3957,0.3957
stat,10000,0.396,0.396
stat,10000,0.398,0.398
stat,10000,0.3961,0.3961
stat,10000,0.3909,0.3909
stat,100000,0.39392,0.39392
stat,100000,0.39672,0.39672
stat,100000,0.3933,0.3933
stat,100000,0.39627,0.39627
stat,100000,0.39221,0.39221
stat,100000,0.39525,0.39525
stat,100000,0.39446,0.39446
stat,100000,0.39409,0.39409
stat,100000,0.39448,0.39448
stat,100000,0.39304,0.39304
stat,100000,0.3927,0.3927
stat,100000,0.39738,0.39738
stat,100000,0.39408,0.39408
stat,100000,0.39355,0.39355
stat,100000,0.39674,0.39674
stat,100000,0.39661,0.39661
stat,100000,0.39247,0.39247
stat,100000,0.39202,0.39202
stat,100000,0.39302,0.39302
stat,100000,0.39615,0.39615
stat,100000,0.39533,0.39533
stat,100000,0.39355,0.39355
stat,100000,0.39531,0.39531
stat,100000,0.39552,0.39552
stat,100000,0.39825,0.39825
stat,100000,0.3981,0.3981
stat,100000,0.39371,0.39371
stat,100000,0.39393,0.39393
stat,100000,0.39598,0.39598
stat,100000,0.39454,0.39454
stat,100000,0.39369,0.39369
stat,100000,0.39515,0.39515
stat,100000,0.39781,0.39781
stat,100000,0.39421,0.39421
stat,100000,0.39366,0.39366
stat,100000,0.39703,0.39703
stat,100000,0.3944,0.3944
stat,100000,0.39542,0.39542
stat,100000,0.39455,0.39455
stat,100000,0.39353,0.39353
stat,100000,0.39454,0.39454
stat,100000,0.39409,0.39409
stat,100000,0.39368,0.39368
stat,100000,0.39641,0.39641
stat,100000,0.39689,0.39689
stat,100000,0.39403,0.39403
stat,100000,0.39366,0.39366
stat,100000,0.39323,0.39323
stat,100000,0.39155,0.39155
stat,100000,0.39668,0.39668
diff,100,0.0,0.01
diff,100,0.02,0.02
diff,100,0.02,0.02
diff,100,0.0,0.01
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.02,0.02
diff,100,0.01,0.01
diff,100,0.0,0.01
diff,100,0.0,0.01
diff,100,0.02,0.02
diff,100,0.02,0.02
diff,100,0.02,0.02
diff,100,0.03,0.03
diff,100,0.01,0.01
diff,100,0.02,0.02
diff,100,0.0,0.01
diff,100,0.01,0.01
diff,100,0.02,0.02
diff,100,0.03,0.03
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.05,0.05
diff,100,0.02,0.02
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.0,0.01
diff,100,0.02,0.02
diff,100,0.0,0.01
diff,100,0.0,0.01
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.02,0.02
diff,100,0.02,0.02
diff,100,0.0,0.01
diff,100,0.03,0.03
diff,100,0.03,0.03
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.0,0.01
diff,100,0.01,0.01
diff,100,0.0,0.01
diff,100,0.03,0.03
diff,100,0.0,0.01
diff,100,0.0,0.01
diff,100,0.0,0.01
diff,100,0.01,0.01
diff,100,0.01,0.01
diff,100,0.0,0.01
diff,1000,0.018,0.018
diff,1000,0.004,0.004
diff,1000,0.01,0.01
diff,1000,0.018,0.018
diff,1000,0.007,0.007
diff,1000,0.009,0.009
diff,1000,0.011,0.011
diff,1000,0.01,0.01
diff,1000,0.008,0.008
diff,1000,0.013,0.013
diff,1000,0.01,0.01
diff,1000,0.008,0.008
diff,1000,0.01,0.01
diff,1000,0.007,0.007
diff,1000,0.007,0.007
diff,1000,0.007,0.007
diff,1000,0.008,0.008
diff,1000,0.012,0.012
diff,1000,0.005,0.005
diff,1000,0.005,0.005
diff,1000,0.009,0.009
diff,1000,0.016,0.016
diff,1000,0.012,0.012
diff,1000,0.012,0.012
diff,1000,0.01,0.01
diff,1000,0.014,0.014
diff,1000,0.015,0.015
diff,1000,0.008,0.008
diff,1000,0.015,0.015
diff,1000,0.011,0.011
diff,1000,0.002,0.002
diff,1000,0.012,0.012
diff,1000,0.013,0.013
diff,1000,0.009,0.009
