dist,p,t,p_t_2,p_t_1,oddsratio,p_f_2,p_f_1,chi2,p_chi_2,p_chi_1,dof,ex
0.45169999999999433,0.13358,1.2467441606569445,0.22966092668381985,0.11483046334190992,1.156141568355309,0.2805866888045344,0.1402933444022672,1.164214698915548,0.28059316085528635,0.14029658042764317,1,"[[ 229.  271.]
 [ 229.  271.]]"
0.4517999999999943,0.01143,2.3078187531217167,0.036173849831818504,0.018086924915909252,1.3344295189788753,0.026805979100213387,0.013402989550106693,4.9000784012544205,0.02685547622792579,0.013427738113962895,1,"[[ 251.  249.]
 [ 251.  249.]]"
0.4518999999999943,0.12762,1.059027129746195,0.3053471192195382,0.1526735596097691,1.1554082055532533,0.28163899390930924,0.14081949695465462,1.1591342991448879,0.2816451515314182,0.1408225757657091,1,"[[ 237.  263.]
 [ 237.  263.]]"
0.4519999999999943,0.00127,3.74817028532654,0.0016377896867126964,0.0008188948433563482,1.471698113207547,0.0028900832184727858,0.0014450416092363929,8.863796866974834,0.002908819046570706,0.001454409523285353,1,"[[ 236.  264.]
 [ 236.  264.]]"
0.4520999999999943,0.00048,3.4488299686259776,0.0032925114407510413,0.0016462557203755206,1.5194286285086405,0.0012326585944927413,0.0006163292972463706,10.424181214831915,0.0012437598638850933,0.0006218799319425467,1,"[[ 239.  261.]
 [ 239.  261.]]"
0.4521999999999943,0.02706,1.8015003128255855,0.08851090131584165,0.044255450657920824,1.283633435807349,0.0570396342378035,0.02851981711890175,3.6198221460718893,0.05709497658822847,0.028547488294114236,1,"[[ 231.5  268.5]
 [ 231.5  268.5]]"
0.45229999999999426,0.01289,2.769879748375246,0.013735297290632713,0.006867648645316356,1.3242782492680576,0.03135345224357415,0.015676726121787075,4.630686711611567,0.03140499145123813,0.015702495725619065,1,"[[ 240.5  259.5]
 [ 240.5  259.5]]"
0.45239999999999425,0.12268,1.2742087810941285,0.21886211671211764,0.10943105835605882,1.15527950310559,0.28182425539657996,0.14091212769828998,1.158242357203546,0.2818303585241474,0.1409151792620737,1,"[[ 239.  261.]
 [ 239.  261.]]"
0.45249999999999424,0.25161,0.6977196396651225,0.4997148245807205,0.24985741229036024,1.0922447336642962,0.5265930800335042,0.2632965400167521,0.40100250626566414,0.5265719745968562,0.2632859872984281,1,"[[ 237.5  262.5]
 [ 237.5  262.5]]"
0.45259999999999423,0.03896,1.519009694266415,0.14708060271398588,0.07354030135699294,1.2523841286437958,0.08708297956318711,0.043541489781593556,2.926535527900442,0.08713429239914153,0.043567146199570764,1,"[[ 235.  265.]
 [ 235.  265.]]"
0.4526999999999942,0.07568,1.5581536950111472,0.1403946170198894,0.0701973085099447,1.2026431718061674,0.16362405543090358,0.08181202771545179,1.940105262735949,0.16365710529669503,0.08182855264834751,1,"[[ 238.5  261.5]
 [ 238.5  261.5]]"
0.4527999999999942,0.11965,1.2717006325215041,0.21966955197230859,0.10983477598615429,1.1642461964038728,0.2549327760506129,0.12746638802530644,1.296005184020736,0.2549442140397583,0.12747210701987916,1,"[[ 249.5  250.5]
 [ 249.5  250.5]]"
0.4528999999999942,0.40424,0.20908334939572681,0.8367340310627739,0.41836701553138694,1.0325229693471014,0.8495168300455613,0.42475841502278067,0.03600518474660351,0.8495047857336289,0.42475239286681443,1,"[[ 247.  253.]
 [ 247.  253.]]"
0.4529999999999942,0.00987,2.9655408525562157,0.010509251701539348,0.005254625850769674,1.3482025221155656,0.022246355165262088,0.011123177582631044,5.222626545933725,0.022294852495469426,0.011147426247734713,1,"[[ 228.5  271.5]
 [ 228.5  271.5]]"
0.4530999999999942,0.08187,1.5923273541561562,0.12900258368226167,0.06450129184113083,1.1929113835253677,0.18374731425690732,0.09187365712845366,1.766826923076923,0.18377526028618318,0.09188763014309159,1,"[[ 240.  260.]
 [ 240.  260.]]"
0.45319999999999416,0.15761,1.0524696231684358,0.30681715138771865,0.15340857569385932,1.1366400218624035,0.3427242368690412,0.1713621184345206,0.9002304589975034,0.342719924143172,0.171359962071586,1,"[[ 246.  254.]
 [ 246.  254.]]"
0.45329999999999415,0.45266,0.11568448309195496,0.909511303616607,0.4547556518083035,1.0161663190908061,0.9495171089453414,0.4747585544726707,0.004009237282699339,0.9495128540157954,0.4747564270078977,1,"[[ 238.  262.]
 [ 238.  262.]]"
0.45339999999999414,0.00049,3.3643825239472775,0.0036234749190299674,0.0018117374595149837,1.5199272101905734,0.0012272611312082317,0.0006136305656041158,10.432208692303991,0.0012383656124763808,0.0006191828062381904,1,"[[ 237.  263.]
 [ 237.  263.]]"
0.45349999999999413,0.02979,1.6437156690865162,0.12025159946584363,0.060125799732921814,1.27179329214155,0.06650399761333614,0.03325199880666807,3.365938780737705,0.06655763957368183,0.03327881978684091,1,"[[ 244.  256.]
 [ 244.  256.]]"
0.4535999999999941,0.09384,1.2113144965746216,0.241804891165726,0.120902445582863,1.1831885271642415,0.20572738560679815,0.10286369280339908,1.6010823316561995,0.20574989598799295,0.10287494799399648,1,"[[ 243.5  256.5]
 [ 243.5  256.5]]"
0.4536999999999941,0.20346,-0.7276068751090012,0.4764551278142789,0.23822756390713945,0.9007421433588859,0.4467853700134218,0.2233926850067109,0.5788362978595116,0.44676881683207814,0.22338440841603907,1,"[[ 232.5  267.5]
 [ 232.5  267.5]]"
0.4537999999999941,0.33803,0.48627268687986214,0.6345590276049758,0.3172795138024879,1.0578302105019661,0.7038140202320491,0.35190701011602454,0.14455567200318023,0.7037934139506123,0.3518967069753062,1,"[[ 234.5  265.5]
 [ 234.5  265.5]]"
0.4538999999999941,0.04983,2.1197530582747137,0.04892201379438473,0.024461006897192366,1.2347205922181097,0.11152798160676064,0.05576399080338032,2.531758377082118,0.11157581840898906,0.05578790920449453,1,"[[ 222.  278.]
 [ 222.  278.]]"
0.4539999999999941,0.05958,2.0666568692054703,0.05416636152721185,0.027083180763605923,1.2216862341716028,0.1289378436397833,0.06446892181989165,2.3047467379430935,0.12897930197884194,0.06448965098942097,1,"[[ 245.5  254.5]
 [ 245.5  254.5]]"
0.45409999999999406,0.40771,0.27529888064467434,0.7862523793355133,0.39312618966775664,1.0326221700267502,0.8492940125823347,0.42464700629116736,0.03611325115562404,0.8492818074338562,0.4246409037169281,1,"[[ 236.  264.]
 [ 236.  264.]]"
0.45419999999999405,0.00266,2.682173465757367,0.016845164275259703,0.008422582137629852,1.4250468517552504,0.006411688538128743,0.0032058442690643717,7.422721798474508,0.006440531745573654,0.003220265872786827,1,"[[ 235.  265.]
 [ 235.  265.]]"
0.45429999999999404,0.14668,1.3288280980070184,0.20057302777572178,0.10028651388786089,1.1457575965429727,0.31154720028998306,0.15577360014499153,1.024102410241024,0.31154787847609905,0.15577393923804952,1,"[[ 247.5  252.5]
 [ 247.5  252.5]]"
