dist,p,t,p_t_2,p_t_1,p_f_2,p_f_1
0.4740000000000001,0.00017,3.7748102786603397,0.00027667626097949946,0.00013833813048974973,0.00046268707817025557,0.00023134353908512779
0.4750000000000001,0.00262,2.5219697879296983,0.01334858790276403,0.006674293951382015,0.005758040438177081,0.0028790202190885406
0.4760000000000001,0.01565,2.2408682356767953,0.027704825537226425,0.013852412768613213,0.032332657546787144,0.016166328773393572
0.4770000000000001,0.00385,2.678640409688627,0.008698063568181933,0.004349031784090966,0.008283761441168757,0.004141880720584378
0.4780000000000001,0.05301,1.6626994033141655,0.09964066711327747,0.049820333556638736,0.1094721214518547,0.05473606072592735
0.4790000000000001,0.0359,1.7330335315104002,0.08637537527741825,0.04318768763870912,0.07506137477230032,0.03753068738615016
0.4800000000000001,0.26558,-0.6787583171317865,0.498978901988966,0.249489450994483,0.5484450126002849,0.27422250630014244
0.4810000000000001,1e-05,4.383325266774823,2.943895583857522e-05,1.471947791928761e-05,2.4282121099738956e-05,1.2141060549869478e-05
0.4820000000000001,0.00217,2.6758489305565005,0.008750215556858155,0.004375107778429078,0.004508852848495822,0.002254426424247911
0.4830000000000001,0.04759,1.4897778716801167,0.13967125445087564,0.06983562722543782,0.10100019689947771,0.05050009844973886
0.4840000000000001,0.25213,0.7085589554763417,0.4802935324415277,0.24014676622076386,0.5220527707375416,0.2610263853687708
0.4850000000000001,0.00102,3.4065175482059535,0.0009561056340375894,0.0004780528170187947,0.002202939010535072,0.001101469505267536
0.4860000000000001,0.10848,1.408615827853844,0.162157889035149,0.0810789445175745,0.22230662663743905,0.11115331331871953
0.4870000000000001,0.13532,1.1573043092399895,0.24996116417564104,0.12498058208782052,0.2713312476912124,0.1356656238456062
0.4880000000000001,0.43794,0.167111325337092,0.8676559562093562,0.4338279781046781,0.8886437601311774,0.4443218800655887
0.4890000000000001,0.28492,0.6138803848775535,0.5408866768238036,0.2704433384119018,0.5891758751412861,0.29458793757064305
0.4900000000000001,0.4208,0.20497298508587172,0.8380211088549175,0.41901055442745877,0.8571496275608612,0.4285748137804306
0.4910000000000001,0.33398,-0.411248746176998,0.6817881016055092,0.3408940508027546,0.6891119001178763,0.34455595005893813
0.4920000000000001,0.13992,1.0526267220430976,0.29513416362696937,0.14756708181348469,0.2890883901457994,0.1445441950728997
0.4930000000000001,0.2251,0.8688543136614116,0.38705771345237727,0.19352885672618864,0.4592936076276908,0.2296468038138454
0.4940000000000001,0.01438,2.1924834757554335,0.030838675055841203,0.015419337527920601,0.03073478346190992,0.01536739173095496
0.4950000000000001,0.47078,0.0875675831018274,0.9304045092938444,0.4652022546469222,0.952151348328018,0.476075674164009
0.4960000000000001,0.31796,0.4542033784688218,0.6506917180821816,0.3253458590410908,0.6455183654251633,0.32275918271258164
0.4970000000000001,0.14099,-0.942382633030285,0.3483141598006435,0.17415707990032175,0.2891218825635567,0.14456094128177835
0.4980000000000001,0.1422,1.0958593502737624,0.27583999518756847,0.13791999759378423,0.28907924456649026,0.14453962228324513
0.4990000000000001,0.26261,-0.6722272512228585,0.5030819060799214,0.2515409530399607,0.5352410737607334,0.2676205368803667
0.5000000000000001,0.32448,0.46044939238116867,0.6462171716236735,0.32310858581183677,0.6599185423604232,0.3299592711802116
0.5010000000000001,0.44476,-0.16736811777625887,0.8674256653144798,0.4337128326572399,0.9044732341389325,0.4522366170694663
