,index,ID,Date,HS time,phenotype,number,freq,total,suppressors
284,286,A-14-2-3,7/23/17,30,P,sssssss,1,7,7
285,287,PS7244,7/23/17,15,P,aaaaaaaaa,0,9,0
286,288,PS7244/PS5970,7/23/17,15,P,aaaaaaaaaaaaaaaaa,0,17,0
287,289,PS7244/+,7/23/17,15,P,aaaaaaaaaaaa,0,12,0
288,290,A9-1-1-1,7/23/17,15,P,ssssssssssssss2,0.933333333,14,14
289,291,PS5970/A9-1-1-1,7/23/17,15,P,aaaaaaaaaa,0,10,0
290,292,PS5970/A9-1-1-1 (M),7/23/17,15,P,aasaaaaaaaaa,0.083333333,12,1
291,293,PS5970 (M),7/23/17,15,P,aaaaaaa,0,7,0
292,294,PS5970,7/23/17,15,P,aaaaaaaaaa,0,10,0
293,295,A-1-2-1,7/23/17,15,P,aaaaaa,0,6,0
294,296,A-35-2c,7/23/17,15,P,aassaa,0.333333333,6,2
295,297,A-30-3c,7/23/17,15,P,saaaaaaaa,0.111111111,9,1
296,298,PS7244,7/24/17,15,P,aaaaaaaaaaa,0,11,0
297,299,PS5869,7/24/17,15,P,ssssssssss,1,10,10
298,300,A-10-2c,7/24/17,15,P,saasaa,0.333333333,6,2
299,301,A-30-3c,7/24/17,15,P,aaaaaaaaa,0,9,0
300,302,A-1-3A,7/24/17,15,P,aaaaaaaaaa,0,10,0
301,303,A-17-1-2,7/24/17,15,P,aaassaasas,0.4,10,4
302,304,A-17-1-3,7/24/17,15,P,saasa,0.4,5,2
303,305,A-30-3a,7/24/17,15,P,aaaaaaa,0,7,0
304,306,A-7-3-2,7/24/17,15,P,aaaaaa,0,6,0
305,307,A-7-2-1,7/24/17,30,P,aaaaaaaaa,0,9,0
306,308,A-31-3c,7/24/17,30,P,aaaaaaa,0,7,0
307,309,A-31-3a,7/24/17,30,P,aaaa,0,4,0
308,310,A-7-1a,7/24/17,30,P,aaaaaaaa,0,8,0
309,311,A-31-3b,7/24/17,30,P,aaaaaaaaaaaaaaaa,0,16,0
310,312,PS7244,7/24/17,15,P,aaaaaaaa,0,8,0
311,313,A-15-3c,7/24/17,15,P,aaaaaaa,0,7,0
312,314,A-15-3b,7/24/17,15,P,aaaaaa,0,6,0
313,315,A-21-2,7/24/17,15,P,aaaaaaaaaa,0,10,0
314,316,PS7244,7/29/17,30,P,aaaaaaaaaaaa,0,12,0
315,317,A-3-2a/PS5689 (M),7/29/17,30,P,sasasss1,0.625,7,5
316,318,A-3-2a/PS5689 ,7/29/17,30,P,ssssssssssss,1,12,12
317,319,A-3-2a,7/29/17,30,P,sssasssssssss,0.923076923,13,12
318,320,A-3-2a/PS5970,7/29/17,30,P,aaaaaaaaaaa,0,11,0
319,321,A-3-2a/PS5970 (M),7/29/17,30,P,aaaaa,0,5,0
320,322,A-3-2a/PS56961,7/29/17,30,P,aaaaaaaaaaaa,0,12,0
321,323,A-3-2a/PS56961 (M),7/29/17,30,P,aaaaaaaaa,0,9,0
322,324,PS7244/PS5961,7/29/17,30,P,aaaaaa,0,6,0
323,325,PS7244/PS5689,7/29/17,30,P,aaaaa,0,5,0
324,326,PS7244/PS5689 (M),7/29/17,30,P,a,0,1,0
325,327,PS7244,7/29/17,15,P,aaaaaaaaaaaa,0,12,0
326,328,PS7244/PS5961 (M),7/29/17,15,P,aaaaaaaa,0,8,0
327,329,PS7244/PS5961,7/29/17,15,P,aaaa,0,4,0
328,330,PS7244/PS5689,7/29/17,15,P,aaaa,0,4,0
329,331,PS7244/PS5689 (M),7/29/17,15,P,aaaaaaaaaaaaaaa,0,15,0
330,332,A-9-1-1,7/29/17,15,P,sssssssssss,1,11,11
331,333,A-9-1-1/PS5689,7/29/17,15,P,aaaaaaaaaaa,0,11,0
332,334,A-9-1-1/PS5689 (M),7/29/17,15,P,aaaaa,0,5,0
333,335,A-12-1-1,7/29/17,15,P,aassssssassass,0.714285714,14,10
334,336,A-12-1-1/PS5970,7/29/17,15,P,aaaaaaaaa,0,9,0
335,337,A-12-1-1/PS597-0 (M),7/29/17,15,P,aaaaaaa,0,7,0
336,338,A-12-1-1/PS5689,7/29/17,15,P,aaaaaaaaaaaa,0,12,0
337,339,A-12-1-1/PS5689 (M),7/29/17,15,P,aaaaa,0,5,0
338,340,A-12-1-1/PS5961,7/29/17,15,P,aaaaaaa,0,7,0
339,341,A-12-1-1/PS5961 (M),7/29/17,15,P,aaaaaaa,0,7,0
340,342,A-6-2-1,7/29/17,15,P,sasssssssssss,0.923076923,13,12
341,343,A-6-2-1/PS5970,7/29/17,15,P,aaaa,0,4,0
342,344,A-6-2-1/PS5970 (M),7/29/17,15,P,aaaaaaaaa,0,9,0
343,345,A-6-2-1/PS5689,7/29/17,15,P,sssssss,1,7,7
344,346,A-6-2-1/PS5689 (M),7/29/17,15,P,ssssss,1,6,6
345,347,A-6-2-1/PS5961,7/29/17,15,P,aaaaaa,0,6,0
346,348,A-6-2-1/PS5961 (M),7/29/17,15,P,aaaaaaa,0,7,0
347,349,PS7244,7/29/17,15,P,aaaaaaaaa,0,9,0
348,350,A-7-3-3,7/29/17,15,P,aaaaaaaa,0,8,0
349,351,A-7-3-3/PS5970,7/29/17,15,P,aaaaaa,0,6,0
350,352,A-7-3-3/PS5970 (M),7/29/17,15,P,aaaaaa,0,6,0
351,353,A-7-3-3/PS5961,7/29/17,15,P,aaaaaa,0,6,0
352,354,A-7-3-3/PS5961 (M),7/29/17,15,P,aaaaaaaa,0,8,0
353,355,A-7-3-3/PS5689,7/29/17,15,P,aaaaaaa,0,7,0
354,356,A-7-3-3/PS5689 (M),7/29/17,15,P,aaaaaaa,0,7,0
355,357,PS7244,7/29/17,15,P,aaaaaaaa,0,8,0
356,358,A-13-3c,7/29/17,15,P,ssssssssssasssa,0.866666667,15,13
357,359,A-13-3c/PS5970,7/29/17,15,P,aaaaaaaaaaaa,0,12,0
358,360,A-13-3c/PS5970 (M),7/29/17,15,P,aaaaaa,0,6,0
359,361,A-13-3c/PS5961,7/29/17,15,P,aaaaaaaaaaaaa,0,13,0
360,362,A-13-3c/PS5961 (M),7/29/17,15,P,aaaaa,0,5,0
361,363,A-13-3c/PS5689,7/29/17,15,P,aaaaaaaaaaaa,0,12,0
362,364,A-13-3c/PS5689 (M),7/29/17,15,P,aaaaa,0,5,0
363,365,PS7244,7/29/17,15,P,aaaaaaa,0,7,0
364,366,A-23-2-3,7/29/17,15,P,ssasaasssssssssass,0.777777778,18,14
365,367,A-23-2-3/PS5970,7/29/17,15,P,aaaaaaaaaaaa,0,12,0
366,368,A-23-2-3/PS5970 (M),7/29/17,15,P,aaaa,0,4,0
367,369,A-23-2-3/PS5961,7/29/17,15,P,aaaaaaa,0,7,0
368,370,A-23-2-3/PS5961 (M),7/29/17,15,P,aaa,0,3,0
369,371,A-23-2-3/PS5689,7/29/17,15,P,aaa,0,3,0
370,372,A-23-2-3/PS5689 (M),7/29/17,15,P,aaa,0,3,0
371,373,A-35-2c,7/30/17,15,P,aaaas,0.2,5,1
372,374,A-35-2c/PS5689,7/30/17,15,P,aaaaaa,0,6,0
373,375,A-35-2c/PS5689 (M),7/30/17,15,P,aaaaaaaaa,0,9,0
374,376,A-35-2c/PS5961,7/30/17,15,P,aaaaaa,0,6,0
375,377,A-35-2c/PS5961 (M),7/30/17,15,P,aa,0,2,0
376,378,A-35-2c/PS5970,7/30/17,15,P,aaaaa,0,5,0
377,379,A-35-2c/PS5970 (M),7/30/17,15,P,aaaaa,0,5,0
378,380,PS7244,7/30/17,15,P,aaaaaaaaaaaaa,0,13,0
379,381,PS7244,7/30/17,15,P,aaaaaaaaa,0,9,0
380,382,A-34-1c,7/30/17,15,P,aaaaaaaaa,0,9,0
381,383,A-34-1c/PS5689,7/30/17,15,P,aaaa,0,4,0
382,384,A-34-1c/PS5689 (M),7/30/17,15,P,aaaaaa,0,6,0
383,385,A-34-1c/PS5961,7/30/17,15,P,aaaaaaaaaaa,0,11,0
384,386,A-34-1c/PS5961 (M),7/30/17,15,P,aaaaaaaaaaa,0,11,0
385,387,A-34-1c/PS5970,7/30/17,15,P,aaaaaaaaaaa,0,11,0
386,388,A-34-1c/PS5970 (M),7/30/17,15,P,aaaaaaaaaaa,0,11,0
387,389,PS7244,7/30/17,30,P,aaaaaaaa,0,8,0
388,390,A-14-2-2,7/30/17,30,P,ssssssasss,0.9,10,9
389,391,A-14-2-2/PS5970,7/30/17,30,P,aaaaaaaaa,0,9,0
390,392,A-14-2-2/PS5970 (M),7/30/17,30,P,aaaaa,0,5,0
