ID,Date,HS time,L,P,DL,DP,NOTE,,,
A-34-1c/PS5970,7/30/17,15,aaaaaaaaaaa,aaaaaaaaaaa,aaaaaasa,aaaaaaa,,,,
A-34-1c/PS5970 (M),7/30/17,15,sassaassss,aaaaaaaaaaa,ssaaassss,aaaaaa,,,,
PS7244,7/30/17,30,aaaaaaaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,,,,
A-14-2-2,7/30/17,30,aaasaaaaasassaaa,ssssssasss,aasasaassasasa,ssssasssssss,unc- movements are small,head movement significant,,
A-14-2-2/PS5970,7/30/17,30,aaaaaaaaaa,aaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaa,,,,
A-14-2-2/PS5970 (M),7/30/17,30,assas,aaaaa,sassss,aaaaa,,,,
A-14-2-2/PS5961,7/30/17,30,aaaaasaa,aaaaaaaaa,aaaaaaaaaa,aaaaaaaaa,,,,
A-14-2-2/PS5961 (M),7/30/17,30,sassaasasaa,aaaaaaaa,assaasssasss,aaaaaaaa,,,,
A-14-2-2/PS5689,7/30/17,30,aaaaaa,aaaaaaaaa,aaaaaaa,aaaaaaaaa,,,,
A-14-2-2/PS5689 (M),7/30/17,30,assssssassa,aaaaaaaaaa,ssssssssssss,aaaaaaaaaa,,,,
PS7244,7/30/17,30,saaaaaaaaaasa,aaaaaaaaaaa,sssaaaaaasaa,aaaaaaaaaaa,,,,
A-14-3-3/PS5970,7/30/17,30,aaaaaaaaa,aaaaaaaaa,aaasaaa,aaaaaaaaa,,,,
A-14-3-3/PS5970 (M),7/30/17,30,ssssasssa,aaaaaaaaa,sassssass,aaaaaaaaa,,,,
A-14-3-3/PS5961,7/30/17,30,aaasaa,aaaaaa,aaasssas,aaaaaa,,,,
A-14-3-3/PS5961 (M),7/30/17,30,sssssssaass,aaaaaa,sasssssss,aaaaaa,,,,
A-14-3-3/PS5689,7/30/17,30,saaaaaaaaa,aaaaaaaaaa,aaaaaaas,aaaaaaaaaa,,,,
A-14-3-3/PS5689 (M),7/30/17,30,ssassasssas,aaaaaaaaaa,sssssssaasss,aaaaaaaaaa,,,,
A-17-1-3,7/31/17,15,aasassasaaass,sssasasassss,sasssssssaassaa,aasasssssssa,control worked- lots of head movement,,,pumping less consinstent 
A-17-1-3/PS5970,7/31/17,15,aaasaaa,aaaaa,assaa,aaaaa,,,,
A-17-1-3/PS5970 (M),7/31/17,15,sssass,aaaaaa,sssss,aaaaaa,,,,
A-17-1-3/PS5961,7/31/17,15,aaaaaa,aaaaa,assssa,aaaaa,,,,
A-17-1-3/PS5961 (M),7/31/17,15,ssasssa,aaaa,ssssss,aaaa,,,,
A-17-1-3/PS5689,7/31/17,15,aaaaaa,aaaaaa,asaassa,aaaaa,one pumper found but was actually just a homozygous mutant- checked and was not red,,,
A-17-1-3/PS5689 (M),7/31/17,15,aaasaaa,aaaaaaa,ssss,aaaaaaa,,,,
A-19-1-3,8/4/17,15,aaaaaaaaaaa,sasasaasas,saaaaaaaaaa,ssssaaaa,phenotype mostly observed in older animals ,,,
A-19-1-3/PS5970,8/4/17,15,aaaaaaaaaaaaaas,aaaaaaaaaaaaaas,aasassaaaaaaaas,aaaaaaaaaaaaaas,,,,
A-19-1-3/PS5970 (M),8/4/17,15,asassa,aaaaaaaa,ssssss,aaaaaaaa,,,,
A-19-1-3/PS5961,8/4/17,15,aaaaaaaaa,aaaaaaaaa,,,,,,
A-19-1-3PS5961 (M),8/4/17,15,assaassasa,aaaaaaaaa,,,,,,
A-19-1-3/PS5689,8/4/17,15,aaaaaaa,aaaaaaa,,,,,,
A-19-1-3/PS5689 (M),8/4/17,15,sssasassss,asaaaaa,,,,,,
,,,,,,,,,,
A-9-1-1/PS5961,8/4/17,15,aaaaaaaaaaaa,aaaaaaaaaaaa,,,,,,
A-9-1-1/PS5961 (M),8/4/17,15,aass,aaaa,,,,,,
A-23-2-3,8/4/17,15,aaaaaaaaaaaaaaaaaaa,asaaassasaassass,saaaaaaaaaaaaaaaaas,saasasassasaasaaa,,,,
A-23-2-3/A-13-3c,8/4/17,15,aaaaaaaas,aaaaaaaaaaaa,aaaaaaaaaaaa,,,,,
A-23-2-3/A-13-3c (M),8/4/17,15,aaaaaasa,aaaaaaaa,aaaaaaaa,,,,,
A-7-2-1,8/5/17,15,aaaaaaaaaaaaas,saaaassaaaaaa,sasaaaassaaa,assssasasasssa,all constipated,,,
