variance,p,t,p_t
100,0.02424,-1.9921249012541884,0.049200631874264975
101,0.06689,-1.5004885576221072,0.13670423031022697
102,0.00012,-3.9845901887658193,0.00013090236895695718
103,0.13245,-1.1007624740655155,0.27369707338392607
104,0.00102,-3.2030005698829727,0.001835033909783132
105,0.00455,-2.6684796406585116,0.009117700311129798
106,8e-05,-3.8246207936629237,0.00023779115529095308
107,0.10765,-1.2329921209512682,0.22059422247864868
108,0.01609,-2.152893706965712,0.033782251765446025
109,0.00105,-3.1691928468550525,0.002040103416481668
110,0.01236,-2.3002915799230146,0.023577401944869996
111,1e-05,-5.141522939901161,1.402994759585889e-06
112,0.49619,0.009918302604184718,0.9921067218268422
113,0.00027,-3.6542799197036273,0.00041666432701264105
114,0.00168,-3.0398465087937057,0.0030798320172625232
115,0.00035,-3.5206974357426772,0.0006727144628968858
116,0.08029,-1.404291936107723,0.16352887743590674
117,0.00198,-2.987574387247871,0.00361539713269077
118,0.02103,-2.0382673695503226,0.04423650030411745
119,0.00026,-3.6533174664878603,0.00042376751457538493
120,0.00632,-2.5439688202595323,0.012568514924933081
121,0.12571,-1.1395365790658039,0.25753068169226345
122,0.00101,-3.2195852890658356,0.0017467531886148186
123,0.32235,-0.4571623931955832,0.6485976468816759
124,0.0318,-1.8726404852115281,0.06411922811490299
125,0.01464,-2.2169081140174076,0.028942292131300857
126,0.05741,-1.5822291815955416,0.1171107551219069
127,0.00029,-3.588765937958731,0.0005381476550808587
128,0.00016,-3.650957484022041,0.0004321488597081488
129,0.0047,-2.6507702520609757,0.009411077862867373
130,0.00062,-3.3929588093252105,0.00100088687501277
131,0.04898,-1.6478818264266315,0.10266640487856732
132,6e-05,-3.9744405019081688,0.00014321282913409126
133,0.0,-4.474277368970157,2.1731871645345067e-05
134,2e-05,-4.07972683219415,9.193972926248814e-05
135,0.00747,-2.4883256311771285,0.014528005937461298
136,0.00043,-3.494173803965114,0.0007370891388798807
137,0.38783,-0.27867387374524016,0.7811363177986654
138,0.00266,-2.9011536613531463,0.004686026117051797
139,0.02852,-1.9257463147932408,0.057332067056832615
140,0.016,-2.1660254590238175,0.03273658885811402
141,2e-05,-4.476204366010711,2.329439290509757e-05
142,0.00365,-2.725033554714123,0.007863527337746656
143,0.01293,-2.2669899557424817,0.025594521121042053
144,0.04478,-1.7090824055640672,0.09085250876712088
145,0.00021,-3.8575785527165998,0.00021460370097658782
146,0.00518,-2.6128777386792215,0.010450342212453103
147,0.09582,-1.2994390308090435,0.1972093122062955
148,0.03498,-1.8280481306163567,0.07146545363455024
149,0.00584,-2.5806199383527337,0.011680922158289581
150,0.04675,-1.6754068170789878,0.09707941755370456
151,0.16059,-0.9864642187859164,0.3269329960455186
152,0.21541,-0.7849897684239651,0.4343645424529303
153,0.01552,-2.1843384969862405,0.03146365141549974
154,0.07131,-1.4672171422062248,0.14635538431752843
155,0.01406,-2.2338474812312694,0.02818654465359041
156,0.0475,-1.6881527787991517,0.09468833549032495
157,0.00029,-3.6113783004650304,0.0005540682591334567
158,0.00027,-3.670280528153665,0.0004452406350783634
159,0.33958,0.408446093211862,0.6839727077003108
160,0.00779,-2.4724913589540427,0.015426395390310068
161,0.23599,-0.7200363633627073,0.47356485725307007
162,0.01886,-2.110150823869818,0.0381015054471695
163,0.06505,-1.5217678117992655,0.13175164849053086
164,0.02924,-1.894749705210254,0.06139577194217227
165,0.00234,-2.918288067317588,0.00475542217061551
166,0.44844,-0.13314212923588517,0.8943796443058823
167,0.00218,-2.960374976374553,0.003999665865166455
168,0.18133,-0.9022887922231543,0.3698296501630197
169,0.04536,-1.6965821558123313,0.09370225501051412
170,0.01214,-2.260617732827331,0.02658734098029189
171,0.00803,-2.448537800754303,0.01642051523702565
172,0.02204,-2.046195735053001,0.044397047244914736
173,0.14322,-1.0624012223210024,0.29133675250132235
174,0.02296,-2.021542115132746,0.046329663316741036
175,0.03358,-1.8494479457734472,0.06813697076563152
176,0.45227,-0.12007226311052703,0.9047047718983776
177,0.14679,-1.0554682032969345,0.2947055533886384
178,0.0546,-1.6039050986149412,0.11286496308574917
179,0.05448,-1.5930711013104815,0.11486876030296
180,0.04024,-1.7517561198359193,0.08448208385698486
181,0.19319,-0.8690881916437554,0.3874135339745136
182,0.16255,-0.9839801666936003,0.3281548569013305
183,0.41408,-0.2062202255634687,0.8371458868995653
184,0.30314,-0.5067926255259996,0.613832784203016
185,0.17398,-0.9344084969421474,0.3535049735972495
186,0.00624,-2.5568846198384687,0.01290867434023361
187,0.07668,-1.4282067202041966,0.157393034746866
188,0.0664,-1.5082574146198533,0.1353394570120968
189,0.06605,-1.497677601549894,0.138449959522532
190,0.08419,-1.378053305267761,0.17195983868008252
191,0.00122,-3.160672407043108,0.0022116312942283525
192,0.00018,-3.7759670104174257,0.00030882238377785633
193,0.07081,-1.4727294996885825,0.14491531522566703
194,0.01071,-2.3464073890919694,0.02185357538307648
195,0.01941,-2.0901131465524743,0.04001398918657609
196,0.22084,-0.7637551584586143,0.44736080781115184
197,0.47733,-0.053074885535683985,0.9578229082801515
198,0.23563,-0.7145175011126034,0.4773132563790522
199,0.35431,-0.3614159431720156,0.7187024009905119
