type,n,p
same,100000,0.50186
same,100000,0.49966
same,100000,0.5008
same,100000,0.50194
same,100000,0.49997
same,100000,0.5
same,100000,0.49707
same,100000,0.49799
same,100000,0.49788
same,100000,0.49923
same,100000,0.49949
same,100000,0.49686
same,100000,0.50216
same,100000,0.49968
same,100000,0.49997
same,100000,0.50257
same,100000,0.49879
same,100000,0.5008
same,100000,0.49941
same,100000,0.50123
same,100000,0.4963
same,100000,0.49843
same,100000,0.50235
same,100000,0.50207
same,100000,0.50172
same,100000,0.50022
same,100000,0.49614
same,100000,0.50097
same,100000,0.49954
stat,10,0.4
stat,10,0.4
stat,10,0.1
stat,10,0.2
stat,10,0.2
stat,10,0.3
stat,10,0.1
stat,10,0.3
stat,10,0.1
stat,10,0.3
stat,10,0.1
stat,10,0.0
stat,10,0.1
stat,10,0.1
stat,10,0.2
stat,10,0.1
stat,10,0.2
stat,10,0.4
stat,10,0.2
stat,10,0.2
stat,10,0.0
stat,10,0.1
stat,10,0.4
stat,10,0.4
stat,10,0.3
stat,10,0.2
stat,10,0.1
stat,10,0.4
stat,10,0.3
stat,10,0.3
stat,10,0.6
stat,10,0.4
stat,10,0.2
stat,10,0.1
stat,10,0.4
stat,10,0.1
stat,10,0.4
stat,10,0.4
stat,10,0.2
stat,10,0.2
stat,10,0.3
stat,10,0.3
stat,10,0.2
stat,10,0.1
stat,10,0.5
stat,10,0.3
stat,10,0.2
stat,10,0.3
stat,10,0.3
stat,10,0.2
stat,100,0.23
stat,100,0.36
stat,100,0.25
stat,100,0.3
stat,100,0.24
stat,100,0.23
stat,100,0.29
stat,100,0.24
stat,100,0.3
stat,100,0.25
stat,100,0.23
stat,100,0.21
stat,100,0.27
stat,100,0.17
stat,100,0.16
stat,100,0.25
stat,100,0.22
stat,100,0.35
stat,100,0.18
stat,100,0.2
stat,100,0.24
stat,100,0.28
stat,100,0.28
stat,100,0.18
stat,100,0.26
stat,100,0.25
stat,100,0.24
stat,100,0.26
stat,100,0.33
stat,100,0.24
stat,100,0.3
stat,100,0.33
stat,100,0.21
stat,100,0.19
stat,100,0.31
stat,100,0.23
stat,100,0.24
stat,100,0.28
stat,100,0.27
stat,100,0.23
stat,100,0.23
stat,100,0.27
stat,100,0.21
stat,100,0.26
stat,100,0.27
stat,100,0.36
stat,100,0.29
stat,100,0.25
stat,100,0.18
stat,100,0.33
stat,1000,0.248
stat,1000,0.266
stat,1000,0.23
stat,1000,0.257
stat,1000,0.269
stat,1000,0.273
stat,1000,0.227
stat,1000,0.278
stat,1000,0.276
stat,1000,0.277
stat,1000,0.257
stat,1000,0.272
stat,1000,0.279
stat,1000,0.245
stat,1000,0.257
stat,1000,0.241
stat,1000,0.259
stat,1000,0.262
stat,1000,0.231
stat,1000,0.27
stat,1000,0.265
stat,1000,0.255
stat,1000,0.248
stat,1000,0.265
stat,1000,0.24
stat,1000,0.248
stat,1000,0.257
stat,1000,0.265
stat,1000,0.239
stat,1000,0.262
stat,1000,0.267
stat,1000,0.277
stat,1000,0.264
stat,1000,0.242
stat,1000,0.259
stat,1000,0.234
stat,1000,0.259
stat,1000,0.267
stat,1000,0.266
stat,1000,0.24
stat,1000,0.247
stat,1000,0.262
stat,1000,0.244
stat,1000,0.282
stat,1000,0.261
stat,1000,0.263
stat,1000,0.26
stat,1000,0.269
stat,1000,0.258
stat,1000,0.25
stat,10000,0.2587
stat,10000,0.2581
stat,10000,0.2566
stat,10000,0.2549
stat,10000,0.2589
stat,10000,0.2571
stat,10000,0.2626
stat,10000,0.2676
stat,10000,0.2615
stat,10000,0.2552
stat,10000,0.2525
stat,10000,0.2549
stat,10000,0.2553
stat,10000,0.2631
stat,10000,0.2538
stat,10000,0.2522
stat,10000,0.2549
stat,10000,0.2574
stat,10000,0.2509
stat,10000,0.2568
stat,10000,0.2551
stat,10000,0.252
stat,10000,0.251
stat,10000,0.2562
stat,10000,0.2604
stat,10000,0.262
stat,10000,0.2523
stat,10000,0.2637
stat,10000,0.2543
stat,10000,0.2521
stat,10000,0.2628
stat,10000,0.2505
stat,10000,0.2675
stat,10000,0.2579
stat,10000,0.2587
stat,10000,0.2577
stat,10000,0.2628
stat,10000,0.249
stat,10000,0.263
stat,10000,0.2557
stat,10000,0.2542
stat,10000,0.2593
stat,10000,0.2578
stat,10000,0.2591
stat,10000,0.2562
stat,10000,0.2616
stat,10000,0.2571
stat,10000,0.2531
stat,10000,0.2607
stat,10000,0.254
stat,100000,0.25596
stat,100000,0.25781
stat,100000,0.25428
stat,100000,0.25919
stat,100000,0.2589
stat,100000,0.2543
stat,100000,0.25549
stat,100000,0.25853
stat,100000,0.25745
stat,100000,0.25704
stat,100000,0.2565
stat,100000,0.25645
stat,100000,0.25769
stat,100000,0.25842
stat,100000,0.25317
stat,100000,0.25756
stat,100000,0.25579
stat,100000,0.25842
stat,100000,0.25766
stat,100000,0.25767
stat,100000,0.2557
stat,100000,0.25861
stat,100000,0.25715
stat,100000,0.25803
stat,100000,0.25834
stat,100000,0.25835
stat,100000,0.26146
stat,100000,0.25602
stat,100000,0.25667
stat,100000,0.25733
stat,100000,0.25663
stat,100000,0.25866
stat,100000,0.25612
