dist,p,t,p_t_2,p_t_1
0.8,1e-05,-34.33038323989644,8.125194174819558e-53,4.062597087409779e-53
0.8,1e-05,-34.33038323989644,8.125194174819558e-53,4.062597087409779e-53
0.81,1e-05,-32.31103564991247,9.561879500379547e-53,4.780939750189774e-53
0.81,1e-05,-32.31103564991247,9.561879500379547e-53,4.780939750189774e-53
0.8200000000000001,1e-05,-33.17167060241904,1.3974493518735161e-46,6.987246759367581e-47
0.8200000000000001,1e-05,-33.17167060241904,1.3974493518735161e-46,6.987246759367581e-47
0.8300000000000001,1e-05,-36.67199381663679,7.44980756383883e-55,3.724903781919415e-55
0.8300000000000001,1e-05,-36.67199381663679,7.44980756383883e-55,3.724903781919415e-55
0.84,1e-05,-40.404005560570944,1.379615414436398e-60,6.89807707218199e-61
0.84,1e-05,-40.404005560570944,1.379615414436398e-60,6.89807707218199e-61
0.85,1e-05,-36.9038021631191,5.015396689112017e-51,2.5076983445560084e-51
0.85,1e-05,-36.9038021631191,5.015396689112017e-51,2.5076983445560084e-51
0.86,1e-05,-39.0106359019843,2.4809947776737805e-56,1.2404973888368902e-56
0.86,1e-05,-39.0106359019843,2.4809947776737805e-56,1.2404973888368902e-56
0.87,1e-05,-44.4688853409013,3.016018850187702e-55,1.508009425093851e-55
0.87,1e-05,-44.4688853409013,3.016018850187702e-55,1.508009425093851e-55
0.88,1e-05,-44.58696594975782,1.4864348062449078e-62,7.432174031224539e-63
0.88,1e-05,-44.58696594975782,1.4864348062449078e-62,7.432174031224539e-63
0.89,1e-05,-40.60626810708741,1.8909381352828277e-56,9.454690676414139e-57
0.89,1e-05,-40.60626810708741,1.8909381352828277e-56,9.454690676414139e-57
0.9,1e-05,-48.45062910702977,5.384147928361188e-56,2.692073964180594e-56
0.9,1e-05,-48.45062910702977,5.384147928361188e-56,2.692073964180594e-56
0.91,1e-05,-56.25882601123855,2.3778129983106923e-68,1.1889064991553461e-68
0.91,1e-05,-56.25882601123855,2.3778129983106923e-68,1.1889064991553461e-68
0.92,1e-05,-49.81036587419393,2.991795889219464e-65,1.495897944609732e-65
0.92,1e-05,-49.81036587419393,2.991795889219464e-65,1.495897944609732e-65
0.93,1e-05,-53.93015938193841,8.740990015104264e-60,4.370495007552132e-60
0.93,1e-05,-53.93015938193841,8.740990015104264e-60,4.370495007552132e-60
